,reward
0,-10.176622045872321
1,1.1851810404029748
2,11.021319731021439
3,1.340227145325573
4,-0.12270928048907259
5,16.887264525990403
6,17.043504809856778
7,-27.198355425911974
8,88.74870938204214
9,-1.0873343904319666
10,1.779271180270877
11,-47.181786289104345
12,-6.126828695860285
13,-11.577773745997645
14,-3.9196477633414903
15,23.303763580192363
16,-0.8257532183886607
17,-42.49848163085227
18,17.686349687930893
19,25.868455508332392
20,-15.358555186345953
21,30.693178809471974
22,-29.911443127588512
23,27.69876524084654
24,12.746315018485785
25,-51.40792992776017
26,4.4462490282357745
27,3.2375772830097587
28,15.044534554281771
29,7.329360818433121
30,-4.437783897879701
31,13.207744573998315
32,-18.677482487078954
33,18.76720978522646
34,63.918850908294246
35,12.830846622687483
36,0.0612259084221376
37,44.34637578137045
38,-8.818167026151965
39,22.88756404643076
40,58.64303317255346
41,28.91861624215702
42,43.10451392108943
43,47.283574746965044
44,21.57703569322114
45,21.08380556901551
46,40.860420278220545
47,69.80449049574952
48,33.36644494784301
49,25.202712980637273
50,33.91742889314053
51,31.689740329847893
52,104.23239576953537
53,54.61589060512866
54,141.1247496326701
55,68.46483743790539
56,59.63069005953234
57,74.759387166159
58,132.67130492549063
59,28.846923199464058
60,79.56144678354117
61,55.887978012679284
62,42.57124184526782
63,48.78028905557197
64,42.10489477880885
65,56.36294280670501
66,44.71794911324274
67,57.86898116206859
68,70.99609470135803
69,51.09702958257357
70,43.0616005187547
71,50.511159650379575
72,58.89429382550798
73,49.16418665498591
74,54.200008395703236
75,54.480777374898864
76,75.32852976360796
77,57.05208563573482
78,55.05192028595739
79,54.487488259792336
80,51.764207213161924
81,90.32689215507922
82,38.619155301725286
83,54.724837369249535
84,51.41396584463978
85,64.3963204082902
86,47.599158300902765
87,51.88776525875607
88,55.94078830100959
89,72.41242929575888
90,49.77975977812674
91,62.76410893476958
92,58.97720286548272
93,55.51960803976848
94,63.44329462969255
95,64.82763947484864
96,52.99942134811824
97,49.695613054404966
98,155.72162577346114
99,148.09128973079802
