,reward
0,25.164721110059872
1,17.576418063350157
2,-54.25746619614909
3,-55.052219888645936
4,15.396085781489731
5,10.918398010270323
6,22.767597462244655
7,23.560652083931597
8,17.847555197540974
9,16.705839624307853
10,11.785277535988424
11,44.121173502076296
12,7.040211672190637
13,16.988059675478265
14,18.699550280941107
15,6.828012808637924
16,16.964792236358846
17,6.051861373074509
18,2.0089645167598866
19,23.95799705303363
20,21.795811141739836
21,20.153756434456277
22,29.95320436724308
23,16.57526203455733
24,12.171665533655066
25,11.574152143773745
26,14.9358657285921
27,9.255767334343986
28,20.656186025780478
29,30.385249033597557
30,26.905108052337766
31,9.085156846095659
32,36.51611169284793
33,11.673920911556204
34,22.190968785298512
35,25.747048980972288
36,45.059206019817225
37,17.12520889741184
38,26.622768875232378
39,-224.10036445480208
40,-10.331370902585913
41,23.100614514776243
42,23.36132367363251
43,20.36358458204114
44,14.287653580700466
45,19.88832076370375
46,32.674644600783566
47,47.01408847378198
48,25.390214292349288
49,51.486467300673205
50,28.020894541373575
51,26.61725716529578
52,10.35831015026895
53,27.87910505681429
54,16.3832500078668
55,23.067740923282113
56,22.2446963115745
57,12.981601812818706
58,22.72091887039646
59,8.607889549311917
60,18.2127591458356
61,16.823254831580034
62,16.84802317789553
63,20.65959692308798
64,30.41813430963172
65,14.131514935407566
66,18.64743681186605
67,25.605895998292993
68,17.510257564336023
69,18.782719103328997
70,17.467863363477647
71,13.751544141099787
72,14.968359435099227
73,19.640116122321288
74,14.188081276458693
75,17.383274519829005
76,18.507298886884627
77,19.169111554420045
78,13.525839929373996
79,19.07775498619714
80,15.204812766104581
81,10.187192139421537
82,26.384336109771237
83,18.446987418035754
84,31.330215812271483
85,19.67816416566194
86,14.858634454167936
87,11.588951590841225
88,18.85171581449387
89,17.02533773045754
90,7.451512607728141
91,10.83058342633944
92,8.411495757954146
93,13.643654588370445
94,11.18459584199091
95,17.683371673670294
96,10.519355839128481
97,14.54711885889741
98,13.954852866054777
99,8.53490173142403
